VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE VX_MASK INTERP_MTHD  INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FY_OY FY_ON FN_OY FN_ON
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 VGRD     m/s        Z10      VGRD    m/s       Z10     ANALYS DTC165  NBRHD_SQUARE 9           <5          <5         >=0.5      NA    NBRCTC    45302 42665   734  1903     0
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 VGRD     m/s        Z10      VGRD    m/s       Z10     ANALYS DTC166  NBRHD_SQUARE 9           <5          <5         >=0.5      NA    NBRCTC    61703 55765  4892   783   263
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 VGRD     m/s        Z10      VGRD    m/s       Z10     ANALYS DTC165  NBRHD_SQUARE 9           >=5         >=5        >=0.5      NA    NBRCTC    45302     0  1903   734 42665
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 VGRD     m/s        Z10      VGRD    m/s       Z10     ANALYS DTC166  NBRHD_SQUARE 9           >=5         >=5        >=0.5      NA    NBRCTC    61703   263   783  4892 55765
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 VGRD     m/s        Z10      VGRD    m/s       Z10     ANALYS DTC165  NBRHD_SQUARE 25          <5          <5         >=0.5      NA    NBRCTC    44837 42554   537  1746     0
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 VGRD     m/s        Z10      VGRD    m/s       Z10     ANALYS DTC166  NBRHD_SQUARE 25          <5          <5         >=0.5      NA    NBRCTC    61325 55434  4857   786   248
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 VGRD     m/s        Z10      VGRD    m/s       Z10     ANALYS DTC165  NBRHD_SQUARE 25          >=5         >=5        >=0.5      NA    NBRCTC    44837     0  1746   537 42554
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 VGRD     m/s        Z10      VGRD    m/s       Z10     ANALYS DTC166  NBRHD_SQUARE 25          >=5         >=5        >=0.5      NA    NBRCTC    61325   248   786  4857 55434
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 WIND     m/s        Z10      WIND    m/s       Z10     ANALYS DTC165  NBRHD_SQUARE 9           <5          <5         >=0.5      NA    NBRCTC    45302 29132 12231  1090  2849
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 WIND     m/s        Z10      WIND    m/s       Z10     ANALYS DTC166  NBRHD_SQUARE 9           <5          <5         >=0.5      NA    NBRCTC    61703 32556  7270 15029  6848
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 WIND     m/s        Z10      WIND    m/s       Z10     ANALYS DTC165  NBRHD_SQUARE 9           >=5         >=5        >=0.5      NA    NBRCTC    45302  2849  1090 12231 29132
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 WIND     m/s        Z10      WIND    m/s       Z10     ANALYS DTC166  NBRHD_SQUARE 9           >=5         >=5        >=0.5      NA    NBRCTC    61703  6848 15029  7270 32556
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 WIND     m/s        Z10      WIND    m/s       Z10     ANALYS DTC165  NBRHD_SQUARE 25          <5          <5         >=0.5      NA    NBRCTC    44837 29797 11488   998  2554
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 WIND     m/s        Z10      WIND    m/s       Z10     ANALYS DTC166  NBRHD_SQUARE 25          <5          <5         >=0.5      NA    NBRCTC    61325 32466  7268 14979  6612
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 WIND     m/s        Z10      WIND    m/s       Z10     ANALYS DTC165  NBRHD_SQUARE 25          >=5         >=5        >=0.5      NA    NBRCTC    44837  2554   998 11488 29797
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 WIND     m/s        Z10      WIND    m/s       Z10     ANALYS DTC166  NBRHD_SQUARE 25          >=5         >=5        >=0.5      NA    NBRCTC    61325  6612 14979  7268 32466
