VERSION MODEL DESC       FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR          FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE VX_MASK      INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL N_THRESH THRESH_1 PODY_1   POFD_1    THRESH_2 PODY_2   POFD_2    THRESH_3 PODY_3   POFD_3    THRESH_4 PODY_4   POFD_4    THRESH_5 PODY_5   POFD_5    THRESH_6 PODY_6   POFD_6    THRESH_7 PODY_7   POFD_7    THRESH_8 PODY_8   POFD_8    THRESH_9 PODY_9   POFD_9    THRESH_10 PODY_10 POFD_10 THRESH_11
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 PROB(TMP<273.000) %          Z2       TMP     NA        Z2      ADPSFC CONUS_BIN_11 NEAREST     1           ==0.10000   <273.0     NA         NA    PRC           4       11        0 NA       0              0.1 NA       0              0.2 NA       0              0.3 NA       0              0.4 NA       0              0.5 NA       0              0.6 NA       0              0.7 NA       0              0.8 NA       0               0.9      NA       0         1
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 PROB(TMP>298.800) %          Z2       TMP     NA        Z2      ADPSFC CONUS_BIN_1  NEAREST     1           ==0.10000   >298.8     NA         NA    PRC        1146       11        0 NA       0              0.1 NA       0              0.2 NA       0              0.3 NA       0              0.4 NA       0              0.5 NA       0              0.6 NA       0              0.7 NA       0              0.8 NA       0               0.9      NA       0         1
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 PROB(TMP>298.800) %          Z2       TMP     NA        Z2      ADPSFC CONUS_BIN_2  NEAREST     1           ==0.10000   >298.8     NA         NA    PRC        1105       11        0 NA       0              0.1 NA       0              0.2 NA       0              0.3 NA       0              0.4 NA       0              0.5 NA       0              0.6 NA       0              0.7 NA       0              0.8 NA       0               0.9      NA       0         1
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 PROB(TMP>298.800) %          Z2       TMP     NA        Z2      ADPSFC CONUS_BIN_3  NEAREST     1           ==0.10000   >298.8     NA         NA    PRC         530       11        0 NA       0              0.1 NA       0              0.2 NA       0              0.3 NA       0              0.4 NA       0              0.5 NA       0              0.6 NA       0              0.7 NA       0              0.8 NA       0               0.9      NA       0         1
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 PROB(TMP>298.800) %          Z2       TMP     NA        Z2      ADPSFC CONUS_BIN_4  NEAREST     1           ==0.10000   >298.8     NA         NA    PRC         242       11        0 NA       0              0.1 NA       0              0.2 NA       0              0.3 NA       0              0.4 NA       0              0.5 NA       0              0.6 NA       0              0.7 NA       0              0.8 NA       0               0.9      NA       0         1
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 PROB(TMP>298.800) %          Z2       TMP     NA        Z2      ADPSFC CONUS_BIN_5  NEAREST     1           ==0.10000   >298.8     NA         NA    PRC         140       11        0 NA       0              0.1 NA       0              0.2 NA       0              0.3 NA       0              0.4 NA       0              0.5 NA       0              0.6 NA       0              0.7 NA       0              0.8 NA       0               0.9      NA       0         1
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 PROB(TMP>298.800) %          Z2       TMP     NA        Z2      ADPSFC CONUS_BIN_6  NEAREST     1           ==0.10000   >298.8     NA         NA    PRC          82       11        0 NA       0              0.1 NA       0              0.2 NA       0              0.3 NA       0              0.4 NA       0              0.5 NA       0              0.6 NA       0              0.7 NA       0              0.8 NA       0               0.9      NA       0         1
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 PROB(TMP>298.800) %          Z2       TMP     NA        Z2      ADPSFC CONUS_BIN_7  NEAREST     1           ==0.10000   >298.8     NA         NA    PRC          75       11        0 NA       0              0.1 NA       0              0.2 NA       0              0.3 NA       0              0.4 NA       0              0.5 NA       0              0.6 NA       0              0.7 NA       0              0.8 NA       0               0.9      NA       0         1
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 PROB(TMP>298.800) %          Z2       TMP     NA        Z2      ADPSFC CONUS_BIN_8  NEAREST     1           ==0.10000   >298.8     NA         NA    PRC          33       11        0 NA       0              0.1 NA       0              0.2 NA       0              0.3 NA       0              0.4 NA       0              0.5 NA       0              0.6 NA       0              0.7 NA       0              0.8 NA       0               0.9      NA       0         1
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 PROB(TMP>298.800) %          Z2       TMP     NA        Z2      ADPSFC CONUS_BIN_9  NEAREST     1           ==0.10000   >298.8     NA         NA    PRC          36       11        0 NA       0              0.1 NA       0              0.2 NA       0              0.3 NA       0              0.4 NA       0              0.5 NA       0              0.6 NA       0              0.7 NA       0              0.8 NA       0               0.9      NA       0         1
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 PROB(TMP>298.800) %          Z2       TMP     NA        Z2      ADPSFC CONUS_BIN_10 NEAREST     1           ==0.10000   >298.8     NA         NA    PRC          19       11        0 NA       0              0.1 NA       0              0.2 NA       0              0.3 NA       0              0.4 NA       0              0.5 NA       0              0.6 NA       0              0.7 NA       0              0.8 NA       0               0.9      NA       0         1
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 PROB(TMP>298.800) %          Z2       TMP     NA        Z2      ADPSFC CONUS_BIN_11 NEAREST     1           ==0.10000   >298.8     NA         NA    PRC           4       11        0 NA       0              0.1 NA       0              0.2 NA       0              0.3 NA       0              0.4 NA       0              0.5 NA       0              0.6 NA       0              0.7 NA       0              0.8 NA       0               0.9      NA       0         1
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 PROB(WIND>12.890) %          Z10      WIND    NA        Z10     ADPSFC CONUS_BIN_3  NEAREST     1           ==0.10000   >12.89     NA         NA    PRC          18       11        0 NA       0              0.1 NA       0              0.2 NA       0              0.3 NA       0              0.4 NA       0              0.5 NA       0              0.6 NA       0              0.7 NA       0              0.8 NA       0               0.9      NA       0         1
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 PROB(WIND>12.890) %          Z10      WIND    NA        Z10     ADPSFC CONUS_BIN_4  NEAREST     1           ==0.10000   >12.89     NA         NA    PRC         242       11        0 NA       0              0.1 NA       0              0.2 NA       0              0.3 NA       0              0.4 NA       0              0.5 NA       0              0.6 NA       0              0.7 NA       0              0.8 NA       0               0.9      NA       0         1
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 PROB(WIND>12.890) %          Z10      WIND    NA        Z10     ADPSFC CONUS_BIN_5  NEAREST     1           ==0.10000   >12.89     NA         NA    PRC         868       11        0 NA       0              0.1 NA       0              0.2 NA       0              0.3 NA       0              0.4 NA       0              0.5 NA       0              0.6 NA       0              0.7 NA       0              0.8 NA       0               0.9      NA       0         1
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 PROB(WIND>12.890) %          Z10      WIND    NA        Z10     ADPSFC CONUS_BIN_6  NEAREST     1           ==0.10000   >12.89     NA         NA    PRC         456       11        0 NA       0              0.1 NA       0              0.2 NA       0              0.3 NA       0              0.4 NA       0              0.5 NA       0              0.6 NA       0              0.7 NA       0              0.8 NA       0               0.9      NA       0         1
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 PROB(WIND>12.890) %          Z10      WIND    NA        Z10     ADPSFC CONUS_BIN_7  NEAREST     1           ==0.10000   >12.89     NA         NA    PRC         642       11        0 NA       0              0.1 NA       0              0.2 NA       0              0.3 NA       0              0.4 NA       0              0.5 NA       0              0.6 NA       0              0.7 NA       0              0.8 NA       0               0.9      NA       0         1
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 PROB(WIND>12.890) %          Z10      WIND    NA        Z10     ADPSFC CONUS_BIN_8  NEAREST     1           ==0.10000   >12.89     NA         NA    PRC         513       11        0 NA       0.0019493      0.1 NA       0.0019493      0.2 NA       0.0019493      0.3 NA       0              0.4 NA       0              0.5 NA       0              0.6 NA       0              0.7 NA       0              0.8 NA       0               0.9      NA       0         1
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 PROB(WIND>12.890) %          Z10      WIND    NA        Z10     ADPSFC CONUS_BIN_9  NEAREST     1           ==0.10000   >12.89     NA         NA    PRC         379       11        0 NA       0.015831       0.1 NA       0.0079156      0.2 NA       0.0079156      0.3 NA       0.0026385      0.4 NA       0.0026385      0.5 NA       0.0026385      0.6 NA       0              0.7 NA       0              0.8 NA       0               0.9      NA       0         1
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 PROB(WIND>12.890) %          Z10      WIND    NA        Z10     ADPSFC CONUS_BIN_10 NEAREST     1           ==0.10000   >12.89     NA         NA    PRC         216       11        0 NA       0.018519       0.1 NA       0.0092593      0.2 NA       0              0.3 NA       0              0.4 NA       0              0.5 NA       0              0.6 NA       0              0.7 NA       0              0.8 NA       0               0.9      NA       0         1
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 PROB(WIND>12.890) %          Z10      WIND    NA        Z10     ADPSFC CONUS_BIN_11 NEAREST     1           ==0.10000   >12.89     NA         NA    PRC          58       11        0  0       0.035714       0.1  0       0.035714       0.2  0       0.035714       0.3  0       0.035714       0.4  0       0.035714       0.5  0       0.035714       0.6  0       0              0.7  0       0              0.8  0       0               0.9       0       0         1
