VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV  OBTYPE VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FABAR      OABAR     FOABAR  FFABAR   OOABAR   MAE
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 VGRD     m/s        Z10      VGRD    NA        Z10      ADPSFC DTC166  NEAREST     1           NA          NA         NA         NA    SAL1L2     3168  0.0388     0.23443  0.70845  1.17692  2.76398 1.23952
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 VGRD     m/s        Z10      VGRD    NA        Z10      ADPSFC LMV     NEAREST     1           NA          NA         NA         NA    SAL1L2      393  0.32197    0.14006  0.75579  1.1902   1.63365 0.9328
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 VGRD     m/s        Z10      VGRD    NA        Z10      ADPSFC LAND_L0 NEAREST     1           NA          NA         NA         NA    SAL1L2     4114 -0.055846   0.11316  0.75041  1.26579  2.8864  1.25782
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 UGRD     m/s        P850-700 UGRD    NA        P850-700 ADPUPA DTC165  NEAREST     1           NA          NA         NA         NA    SAL1L2      195  0.28607    0.1399   1.50442  3.05608  5.53677 1.7924
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 UGRD     m/s        P850-700 UGRD    NA        P850-700 ADPUPA DTC166  NEAREST     1           NA          NA         NA         NA    SAL1L2      359 -0.2717     0.079089 1.86912  3.35345  7.04722 1.99666
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 UGRD     m/s        P850-700 UGRD    NA        P850-700 ADPUPA LMV     NEAREST     1           NA          NA         NA         NA    SAL1L2       38 -0.18452   -0.30649  2.32993  1.97947  5.23062 1.25655
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 UGRD     m/s        P850-700 UGRD    NA        P850-700 ADPUPA LAND_L0 NEAREST     1           NA          NA         NA         NA    SAL1L2      609  0.038919   0.14186  1.4305   2.99061  6.2011  1.92147
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 VGRD     m/s        P850-700 VGRD    NA        P850-700 ADPUPA DTC165  NEAREST     1           NA          NA         NA         NA    SAL1L2      195  0.47793    0.46022  2.39563  4.35995  7.52945 2.15517
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 VGRD     m/s        P850-700 VGRD    NA        P850-700 ADPUPA DTC166  NEAREST     1           NA          NA         NA         NA    SAL1L2      359 -0.57712   -0.60048  2.24998  3.65855  7.52523 2.05516
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 VGRD     m/s        P850-700 VGRD    NA        P850-700 ADPUPA LMV     NEAREST     1           NA          NA         NA         NA    SAL1L2       38 -1.02818   -1.06538  1.90689  3.46572  5.6072  1.8534
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 VGRD     m/s        P850-700 VGRD    NA        P850-700 ADPUPA LAND_L0 NEAREST     1           NA          NA         NA         NA    SAL1L2      609 -0.2236    -0.27571  2.22847  3.82408  7.24764 2.05374
